Model version,Arena Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Score 95% CI,Votes,Last updated,Source,Source link (site from table),Notes,95% CI High,95% CI Low,id
gpt-5.1-codex-mini,1247.0,2025-11-12,OpenAI,United States of America,,,=+17/-17,1566,2026-01-05,WebDev Arena Leaderboard,https://web.lmarena.ai/leaderboard,,,,recPRratljctS351K
trinity-large-thinking,1238.37,2026-04-01,Arcee AI,United States of America,,,,1303,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1258.86,1217.88,recOdmWvMBKCrAR2K
qwen3.5-flash,1238.12,2026-02-25,Alibaba,China,,,,1271,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1258.23,1218.01,recXaGYNzvxoD25Gj
mistral-large-2512,1230.14,2025-12-02,Mistral AI,France,,,,815,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1255.97,1204.32,rec75ePp1KlTVhbON
,1226.0,,,,,,=+20/-20,1025,2026-01-05,WebDev Arena Leaderboard,https://web.lmarena.ai/leaderboard,,,,reclY6B2Wp2f59mld
gemini-2.5-pro,1225.69,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,=+13/-13,2675,2026-01-05,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1241.68,1209.7,recmBglMHLXb6m6s8
grok-4-1-fast-reasoning,1223.0,2025-11-19,xAI,United States of America,,,=+13/-13,3721,2026-01-05,WebDev Arena Leaderboard,https://web.lmarena.ai/leaderboard,,,,recgHWkkshK8nYtfz
grok-4-1,1209.85,2025-11-17,xAI,United States of America,,,,948,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1234.88,1184.83,recmY1Sf15dhJzzON
,1202.0,,,,,,=+19/-19,1262,2026-01-05,WebDev Arena Leaderboard,https://web.lmarena.ai/leaderboard,,,,reco07u0phmlUKOm4
mercury-2,1166.17,,Inception Labs,United States of America,,,,908,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1191.31,1141.03,rechVEiDFpARu63zz
grok-code-fast-1,1164.51,2025-08-28,,,,,=+21/-21,783,2026-01-05,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1192.84,1136.18,recT6aoJlcWcMufso
grok-4-fast,1149.0,2025-09-19,xAI,United States of America,,,=+23/-23,945,2026-01-05,WebDev Arena Leaderboard,https://web.lmarena.ai/leaderboard,,,,rec8Eg2KdgjeEWepd
,1099.0,,,,,,=+22/-22,1033,2026-01-05,WebDev Arena Leaderboard,https://web.lmarena.ai/leaderboard,,,,recYBnWjhmTwpsA6r
