Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Source,Source link,Notes,id
gpt-5.4-nano-2026-03-17_low,0.1833,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Nano (Low),https://arcprize.org/leaderboard,,,recfphgegRzZ4mOYq
o1-preview-2024-09-12,0.18,2024-09-12,OpenAI,United States of America,,,o1-preview,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,reclttZQlaXCYpTDb
claude-haiku-4-5-20251001_1K,0.16830000000000003,2025-10-15,Anthropic,United States of America,,,Claude Haiku 4.5 (Thinking 1K),,,,rechYdBGiz7Q83lQN
gpt-5-nano-2025-08-07_high,0.1667,2025-08-07,OpenAI,United States of America,,,GPT-5 Nano (High),,,,rec5XtpFjG24wKtGF
grok-3-mini-beta_low,0.165,2025-04-09,xAI,United States of America,,,Grok 3 Mini (Low),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recUL8yDJO8uotk8q
grok-3-mini_low,0.165,2025-06-24,xAI,United States of America,,,Grok 3 Mini (Low),,,,recmB2931TiCLxLua
gemini-2.5-flash-preview-05-20_1K,0.16,2025-05-20,Google DeepMind,United States of America,,,Gemini 2.5 Flash (Preview) (Thinking 1K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recxGd7FrJeq7ZyUy
DeepSeek-R1,0.158,2025-01-20,DeepSeek,China,3.5e+24,"3.29e24 + 1.8e23 = 3.47e24, round to 3.5e24 due to lack of sigfigs",Deepseek R1,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec9Em7ivae72BNBO
o3-mini-2025-01-31_low,0.145,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o3-mini (Low),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recoKTXJX6Wtyzmyn
claude-haiku-4-5-20251001,0.1433,2025-10-15,Anthropic,United States of America,,,Claude Haiku 4.5,,,,recO8w0BTuGH9P0y9
o1-mini-2024-09-12_medium,0.14,2024-09-12,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o1-mini,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recjBMo8w3uRVYaQN
o1-mini-2024-09-12_unknown,0.14,2024-09-12,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o1-mini,,,,rec5TYrCBulg0P7BN
claude-3-7-sonnet-20250219,0.136,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,Claude 3.7,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recDy7yrZGrBGUAKD
gpt-5.4-mini-2026-03-17_low,0.13,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (Low),https://arcprize.org/leaderboard,,,recwxgmyNfideG5hT
gpt-5.2-2025-12-11_unknown,0.1233,2025-12-11,OpenAI,United States of America,,,GPT-5.2,,,,reckceJM0xScUaZLy
claude-3-7-sonnet-20250219_1K,0.116,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,Claude 3.7 (1K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec96fPyndWwzLTzI
Qwen3-235B-A22B-Instruct-2507,0.11,2025-07-25,Alibaba,China,4.752e+24,6 FLOP / parameter / token * 22*10^9 active parameters * 36000000000000 tokens = 4.752e+24 FLOP,Qwen3-235b-a22b Instruct (25/07),,,,recXyCIvzq1Y2Fu9B
gpt-4.5-preview-2025-02-27,0.103,2025-02-27,OpenAI,United States of America,3.8e+26,"Analysis of GPT-4.5's training cluster yields a median estimate of 187M H100-hours of training. The utilization assumptions we used for the Grok 3 estimate (maybe worth revisiting) were 20 to 40% under the H100 FP8 spec of 2000 teraflop/s. This leads to an estimate of 2.7e26 to 5.4e26 FLOP, or a geomean of 3.8e26

Alternatively, using a plausible range of 20 to 50% utilization, given the possibility of FP8 training, yields a median estimate of ~2e25 FLOP. See notebook below for details.

https://colab.research.google.com/drive/1QBmVPm64Ti0xucN0EsZTgSz_I7Mj9hAZ#scrollTo=NYH1ABJuLJlw 

This is consistent with OpenAI's statement that GPT-4.5 was a “new order of magnitude in compute” compared to previous models (e.g. GPT-4, which was ~2e25), suggesting around 2e26 FLOP. But they could have meant this somewhat loosely. 

In the ""Pretraining GPT-4.5"" interview, they state they used multi-cluster training: https://youtu.be/6nJZopACRuQ?si=FFJC-gEmGPZjvoPM&t=617 ",GPT-4.5,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recqWXrYnfvx1C2KT
gpt-5-2025-08-07_minimal,0.06,2025-08-07,OpenAI,United States of America,6.6e+25,"Likely around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",GPT-5 (Minimal),,,,rec7EWmQhvfrKlA5M
magistral-medium-2506,0.0591,2025-06-10,Mistral AI,France,,,Magistral Medium,,,,recq9HDi3QWg3tymY
gpt-5.1-2025-11-13_none,0.058300000000000005,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
","GPT-5.1 (Thinking, None)",,,,recvFAXe18z3JQjOe
gpt-4.1-2025-04-14,0.055,2025-04-14,OpenAI,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,GPT-4.1,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec3x5nkdnWzgTzeC
grok-3,0.055,2025-04-09,xAI,United States of America,3.5e+26,"Estimate based on a cluster of 80,000 H100s per the xai website and an estimated training time of approximately three months.

Full estimate here: https://docs.google.com/document/d/1MIUFviULJ3YI_XjyzL8cwG0cBRANKNxVEB4DrUcFiNs/edit?usp=sharing",Grok 3,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec6qqzTzHa8ARTi6
gpt-5-mini-2025-08-07_minimal,0.0533,2025-08-07,OpenAI,United States of America,,,GPT-5 Mini (Minimal),,,,recjlR2PzTtBVfJjg
magistral-small-2506,0.05,2025-06-10,Mistral AI,France,,,Magistral Small,,,,recitQEg9v6tfnwI9
gpt-4o-2024-11-20,0.045,2024-11-20,OpenAI,United States of America,,Training compute estimated to be 3.8e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,GPT-4o,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recEtb28sN0f3OFf5
Llama-4-Maverick-17B-128E-Instruct,0.044,2025-04-05,Meta AI,United States of America,2.244000000001e+24,"22T training tokens per model card:

https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md   

Maverick was trained using co-distillation from Llama 4 Behemoth. It isn't 100% clear that all 22T tokens used distillation, but we assume this for the time being.

Estimating training compute from parameters and tokens:
Compute = 6 FLOP per token per parameter * 17B active parameters * 22T tokens = 2.244e24 FLOP
(Implying mean throughput was 262 TFLOPS/GPU, or 13.2% MFU in FP8)


The model card also states that Llama 4 Maverick used 2.38M H100-hours.
The blog post gives a figure of 390 TFLOPS/GPU, but this may have been the utilization rate for Behemoth, or all of the models together. Using this utilization, we have:
Compute = 390 TFLOP/s * 2.38 million hours = 3.342e24 FLOP
(This value is higher than the compute implied by parameters and tokens, and suggests utilization may have been lower for Maverick than for Behemoth.)",Llama 4 Maverick,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec0EiReUxsja9Iui
gpt-5-nano-2025-08-07_low,0.0404,2025-08-07,OpenAI,United States of America,,,GPT-5 Nano (Low),,,,recrZHnvXhnIH3CXM
gpt-4.1-mini-2025-04-14,0.035,2025-04-14,OpenAI,United States of America,,,GPT-4.1-Mini,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recFVGAte0Uy8kc22
gpt-5-nano-2025-08-07_minimal,0.015,2025-08-07,OpenAI,United States of America,,,GPT-5 Nano (Minimal),,,,rec2bl4JRg9TTqfnc
Llama-4-Scout-17B-16E-Instruct,0.005,2025-04-05,Meta AI,United States of America,4.08e+24,"40T training tokens per model card:

https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md  

Estimating training compute from parameters and tokens:
6 FLOP per token per parameter * 17B active parameters * 40T tokens = 4.08e24 FLOP
(Implying mean throughput was 227 TFLOPS/GPU, or 11.5% MFU in FP8)


The model card also states that Llama 4 Scout used 5.0M H100-hours.
The blog post gives a figure of 390 TFLOPS/GPU, but this may have been the utilization rate for Behemoth, or all of the models together. Using this utilization, we have:
Compute = 390 TFLOP/s * 5 million hours = 7.02e24 FLOP
(This value is higher than the compute implied by parameters and tokens, and suggests utilization may have been lower for Scout than for Behemoth.)",Llama 4 Scout,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recNN11X9GLUAxRYd
gpt-4.1-nano-2025-04-14,0.0,2025-04-14,OpenAI,United States of America,,,GPT-4.1-Nano,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recNs9X6RPBPUfcRN
